codecommune,nomcommune,dep,depancien,codecommuneancien
91339,LINAS,91,SO91,78339
91340,LISSES,91,SO91,78340
91345,LONGJUMEAU,91,SO91,78345
91347,LONGPONT-SUR-ORGE,91,SO91,78347
91359,MAISSE,91,SO91,78359
91363,MARCOUSSIS,91,SO91,78363
91374,MAROLLES-EN-BEAUCE,91,SO91,78374
91376,MAROLLES-EN-HUREPOIX,91,SO91,78376
91377,MASSY,91,SO91,78377
91378,MAUCHAMPS,91,SO91,78378
91386,MENNECY,91,SO91,78386
91390,MEREVILLE,91,SO91,78390
91393,MEROBERT,91,SO91,78393
91399,MESPUITS,91,SO91,78399
91405,MILLY-LA-FORET,91,SO91,78405
91408,MOIGNY-SUR-ECOLE,91,SO91,78408
91411,MOLIERES,91,SO91,78411
91412,MONDEVILLE,91,SO91,78412
91414,MONNERVILLE,91,SO91,78414
91421,MONTGERON,91,SO91,78421
91425,MONTLHERY,91,SO91,78425
91432,MORANGIS,91,SO91,78432
91433,MORIGNY-CHAMPIGNY,91,SO91,78433
91434,MORSANG-SUR-ORGE,91,SO91,78434
91435,MORSANG-SUR-SEINE,91,SO91,78435
91441,NAINVILLE-LES-ROCHES,91,SO91,78441
91457,NORVILLE,91,SO91,78457
91458,NOZAY,91,SO91,78458
91461,OLLAINVILLE,91,SO91,78461
91463,ONCY-SUR-ECOLE,91,SO91,78463
91468,ORMOY,91,SO91,78468
91469,ORMOY-LA-RIVIERE,91,SO91,78469
91471,ORSAY,91,SO91,78471
91473,ORVEAU,91,SO91,78473
91477,PALAISEAU,91,SO91,78477
91479,PARAY-VIEILLE-POSTE,91,SO91,78479
91482,PECQUEUSE,91,SO91,78482
91494,PLESSIS-PATE,91,SO91,78494
91495,PLESSIS-SAINT-BENOIST,91,SO91,78495
91507,PRUNAY-SUR-ESSONNE,91,SO91,78507
91508,PUISELET-LE-MARAIS,91,SO91,78508
91511,PUSSAY,91,SO91,78511
91514,QUINCY-SOUS-SENART,91,SO91,78514
91519,RICHARVILLE,91,SO91,78519
91521,RIS-ORANGIS,91,SO91,78521
91525,ROINVILLE,91,SO91,78525
91526,ROINVILLIERS,91,SO91,78526
91533,SACLAS,91,SO91,78533
91534,SACLAY,91,SO91,78534
91538,SAINT-AUBIN,91,SO91,78538
91540,SAINT-CHERON,91,SO91,78540
91544,SAINT-CYR-LA-RIVIERE,91,SO91,78544
91546,SAINT-CYR-SOUS-DOURDAN,91,SO91,78546
91547,SAINT-ESCOBILLE,91,SO91,78547
91549,SAINTE-GENEVIEVE-DES-BOIS,91,SO91,78549
91552,SAINT-GERMAIN-LES-ARPAJON,91,SO91,78552
91553,SAINT-GERMAIN-LES-CORBEIL,91,SO91,78553
91556,SAINT-HILAIRE,91,SO91,78556
91560,SAINT-JEAN-DE-BEAUREGARD,91,SO91,78560
91568,SAINT-MAURICE-MONTCOURONNE,91,SO91,78568
91570,SAINT-MICHEL-SUR-ORGE,91,SO91,78570
91573,SAINT-PIERRE-DU-PERRAY,91,SO91,78573
91577,SAINTRY-SUR-SEINE,91,SO91,78577
91578,SAINT-SULPICE-DE-FAVIERES,91,SO91,78578
91579,SAINT-VRAIN,91,SO91,78579
91581,SAINT-YON,91,SO91,78581
91587,SAULX-LES-CHARTREUX,91,SO91,78587
91589,SAVIGNY-SUR-ORGE,91,SO91,78589
91593,SERMAISE,91,SO91,78593
91599,SOISY-SUR-ECOLE,91,SO91,78599
91600,SOISY-SUR-SEINE,91,SO91,78600
91602,SOUZY-LA-BRICHE,91,SO91,78602
91613,CONGERVILLE-THIONVILLE,91,SO91,78613
91617,TIGERY,91,SO91,78617
91619,TORFOU,91,SO91,78619
91629,VALPUISEAUX,91,SO91,78629
91630,VAL-SAINT-GERMAIN,91,SO91,78630
91631,VARENNES-JARCY,91,SO91,78631
91634,VAUGRIGNEUSE,91,SO91,78634
91635,VAUHALLAN,91,SO91,78635
91639,VAYRES-SUR-ESSONNE,91,SO91,78639
91645,VERRIERES-LE-BUISSON,91,SO91,78645
91648,VERT-LE-GRAND,91,SO91,78648
91649,VERT-LE-PETIT,91,SO91,78649
91654,VIDELLES,91,SO91,78654
91657,VIGNEUX-SUR-SEINE,91,SO91,78657
91659,VILLABE,91,SO91,78659
91661,VILLEBON-SUR-YVETTE,91,SO91,78661
91662,VILLECONIN,91,SO91,78662
91665,VILLE-DU-BOIS,91,SO91,78665
91666,VILLEJUST,91,SO91,78666
91667,VILLEMOISSON-SUR-ORGE,91,SO91,78667
91671,VILLENEUVE-SUR-AUVERS,91,SO91,78671
91679,VILLIERS-LE-BACLE,91,SO91,78679
91685,VILLIERS-SUR-ORGE,91,SO91,78685
91687,VIRY-CHATILLON,91,SO91,78687
91689,WISSOUS,91,SO91,78689
91691,YERRES,91,SO91,78691
91692,ULIS,91,SO91,91692
92002,ANTONY,92,SE92,75002
92004,ASNIERES,92,SE92,75004
92007,BAGNEUX,92,SE92,75007
92009,BOIS-COLOMBES,92,SE92,75009
92012,BOULOGNE-BILLANCOURT,92,SE92,75012
92014,BOURG-LA-REINE,92,SE92,75014
92019,CHATENAY-MALABRY,92,SE92,75019
92020,CHATILLON,92,SE92,75020
92022,CHAVILLE,92,SO92,78153
92023,CLAMART,92,SE92,75023
92024,CLICHY,92,SE92,75024
92025,COLOMBES,92,SE92,75025
92026,COURBEVOIE,92,SE92,75026
92032,FONTENAY-AUX-ROSES,92,SE92,75032
92033,GARCHES,92,SO92,78266
92035,GARENNE-COLOMBES,92,SE92,75035
92036,GENNEVILLIERS,92,SE92,75036
92040,ISSY-LES-MOULINEAUX,92,SE92,75040
92044,LEVALLOIS-PERRET,92,SE92,75044
92046,MALAKOFF,92,SE92,75047
92047,MARNES-LA-COQUETTE,92,SO92,78373
92048,MEUDON,92,SO92,78400
92049,MONTROUGE,92,SE92,75049
92050,NANTERRE,92,SE92,75050
92051,NEUILLY-SUR-SEINE,92,SE92,75051
92060,PLESSIS-ROBINSON,92,SE92,75060
92062,PUTEAUX,92,SE92,75062
92063,RUEIL-MALMAISON,92,SO92,78532
92064,SAINT-CLOUD,92,SO92,78542
92071,SCEAUX,92,SE92,75071
92072,SEVRES,92,SO92,78596
92073,SURESNES,92,SE92,75073
92075,VANVES,92,SE92,75075
92076,VAUCRESSON,92,SO92,78632
92077,VILLE-D'AVRAY,92,SO92,78664
92078,VILLENEUVE-LA-GARENNE,92,SE92,75078
93001,AUBERVILLIERS,93,SE93,75005
93005,AULNAY-SOUS-BOIS,93,SO93,78032
93006,BAGNOLET,93,SE93,75006
93007,BLANC-MESNIL,93,SO93,78066
93008,BOBIGNY,93,SE93,75008
93010,BONDY,93,SE93,75010
93013,BOURGET,93,SE93,75013
93014,CLICHY-SOUS-BOIS,93,SO93,78167
93015,COUBRON,93,SO93,78178
93027,COURNEUVE,93,SE93,75027
93029,DRANCY,93,SE93,75029
93030,DUGNY,93,SE93,75030
93031,EPINAY-SUR-SEINE,93,SE93,75031
93032,GAGNY,93,SO93,78260
93033,GOURNAY-SUR-MARNE,93,SO93,78279
93039,ILE-SAINT-DENIS,93,SE93,75039
93045,LILAS,93,SE93,75045
93046,LIVRY-GARGAN,93,SO93,78342
93047,MONTFERMEIL,93,SO93,78419
93048,MONTREUIL,93,SE93,75048
93049,NEUILLY-PLAISANCE,93,SO93,78448
93050,NEUILLY-SUR-MARNE,93,SO93,78449
93051,NOISY-LE-GRAND,93,SO93,78454
93053,NOISY-LE-SEC,93,SE93,75053
93055,PANTIN,93,SE93,75055
93057,PAVILLONS-SOUS-BOIS,93,SE93,75057
93059,PIERREFITTE-SUR-SEINE,93,SE93,75059
93061,PRE-SAINT-GERVAIS,93,SE93,75061
93062,RAINCY,93,SO93,78515
93063,ROMAINVILLE,93,SE93,75063
93064,ROSNY-SOUS-BOIS,93,SE93,75064
93066,SAINT-DENIS,93,SE93,75066
93070,SAINT-OUEN,93,SE93,75070
93071,SEVRAN,93,SO93,78595
93072,STAINS,93,SE93,75072
93073,TREMBLAY-LES-GONESSE,93,SO93,78622
93074,VAUJOURS,93,SO93,78636
93077,VILLEMOMBLE,93,SE93,75077
93078,VILLEPINTE,93,SO93,78673
93079,VILLETANEUSE,93,SE93,75079
94001,ABLON-SUR-SEINE,94,SO94,78004
94002,ALFORTVILLE,94,SE94,75001
94003,ARCUEIL,94,SE94,75003
94004,BOISSY-SAINT-LEGER,94,SO94,78083
94011,BONNEUIL-SUR-MARNE,94,SE94,75011
94015,BRY-SUR-MARNE,94,SE94,75015
94016,CACHAN,94,SE94,75016
94017,CHAMPIGNY-SUR-MARNE,94,SE94,75017
94018,CHARENTON-LE-PONT,94,SE94,75018
94019,CHENNEVIERES-SUR-MARNE,94,SO94,78155
94021,CHEVILLY-LARUE,94,SE94,75021
94022,CHOISY-LE-ROI,94,SE94,75022
94028,CRETEIL,94,SE94,75028
94033,FONTENAY-SOUS-BOIS,94,SE94,75033
94034,FRESNES,94,SE94,75034
94037,GENTILLY,94,SE94,75037
94038,HAY-LES-ROSES,94,SE94,75038
94041,IVRY-SUR-SEINE,94,SE94,75041
94042,JOINVILLE-LE-PONT,94,SE94,75042
94043,KREMLIN-BICETRE,94,SE94,75043
94044,LIMEIL-BREVANNES,94,SO94,78336
94046,MAISONS-ALFORT,94,SE94,75046
94047,MANDRES-LES-ROSES,94,SO94,78360
94048,MAROLLES-EN-BRIE,94,SO94,78375
94052,NOGENT-SUR-MARNE,94,SE94,75052
94053,NOISEAU,94,SO94,78453
94054,ORLY,94,SE94,75054
94055,ORMESSON-SUR-MARNE,94,SO94,78467
94056,PERIGNY,94,SO94,78485
94058,PERREUX-SUR-MARNE,94,SE94,75058
94059,PLESSIS-TREVISE,94,SO94,78496
94060,QUEUE-EN-BRIE,94,SO94,78512
94065,RUNGIS,94,SE94,75065
94067,SAINT-MANDE,94,SE94,75067
94068,SAINT-MAUR-DES-FOSSES,94,SE94,75068
94069,SAINT-MAURICE,94,SE94,75069
94070,SANTENY,94,SO94,78583
94071,SUCY-EN-BRIE,94,SO94,78603
94073,THIAIS,94,SE94,75074
94074,VALENTON,94,SO94,78626
94075,VILLECRESNES,94,SO94,78663
94076,VILLEJUIF,94,SE94,75076
94077,VILLENEUVE-LE-ROI,94,SO94,78669
94078,VILLENEUVE-SAINT-GEORGES,94,SO94,78670
94079,VILLIERS-SUR-MARNE,94,SO94,78684
94080,VINCENNES,94,SE94,75080
94081,VITRY-SUR-SEINE,94,SE94,75081
95002,ABLEIGES,95,SO95,78002
95008,AINCOURT,95,SO95,78008
95011,AMBLEVILLE,95,SO95,78011
95012,AMENUCOURT,95,SO95,78012
95014,ANDILLY,95,SO95,78014
95018,ARGENTEUIL,95,SO95,78018
95019,ARNOUVILLE-LES-GONESSE,95,SO95,78019
95023,ARRONVILLE,95,SO95,78023
95024,ARTHIES,95,SO95,78024
95025,ARTHIEUL,95,SO95,78025
95026,ASNIERES-SUR-OISE,95,SO95,78026
95028,ATTAINVILLE,95,SO95,78028
95039,AUVERS-SUR-OISE,95,SO95,78039
95040,AVERNES,95,SO95,78040
95042,BAILLET-EN-FRANCE,95,SO95,78042
95046,BANTHELU,95,SO95,78046
95051,BEAUCHAMP,95,SO95,78051
95052,BEAUMONT-SUR-OISE,95,SO95,78052
95054,BELLAY-EN-VEXIN,95,SO95,78054
95055,BELLEFONTAINE,95,SO95,78055
95056,BELLOY-EN-FRANCE,95,SO95,78056
95058,BERNES-SUR-OISE,95,SO95,78058
95059,BERVILLE,95,SO95,78059
95060,BESSANCOURT,95,SO95,78060
95061,BETHEMONT-LA-FORET,95,SO95,78061
95063,BEZONS,95,SO95,78063
95065,BLAMECOURT,95,SO95,78065
95074,BOISEMONT,95,SO95,78074
95078,BOISSY-L'AILLERIE,95,SO95,78078
95088,BONNEUIL-EN-FRANCE,95,SO95,78088
95091,BOUFFEMONT,95,SO95,78091
95094,BOUQUEVAL,95,SO95,78094
95101,BRAY-ET-LU,95,SO95,78101
95102,BREANCON,95,SO95,78102
95110,BRIGNANCOURT,95,SO95,78110
95116,BRUYERES-SUR-OISE,95,SO95,78116
95119,BUHY,95,SO95,78119
95120,BUTRY-SUR-OISE,95,SO95,78692
95127,CERGY,95,SO95,78127
95134,CHAMPAGNE-SUR-OISE,95,SO95,78134
95139,CHAPELLE-EN-VEXIN,95,SO95,78139
95141,CHARMONT,95,SO95,78141
95142,CHARS,95,SO95,78142
95144,CHATENAY-EN-FRANCE,95,SO95,78144
95149,CHAUMONTEL,95,SO95,78149
95150,CHAUSSY,95,SO95,78150
95151,CHAUVRY,95,SO95,78151
95154,CHENNEVIERES-LES-LOUVRES,95,SO95,78154
95157,CHERENCE,95,SO95,78157
95166,CLERY-EN-VEXIN,95,SO95,78166
95169,COMMENY,95,SO95,78169
95170,CONDECOURT,95,SO95,78170
95176,CORMEILLES-EN-PARISIS,95,SO95,78176
95177,CORMEILLES-EN-VEXIN,95,SO95,78177
95181,COURCELLES-SUR-VIOSNE,95,SO95,78181
95183,COURDIMANCHE,95,SO95,78183
95197,DEUIL-LA-BARRE,95,SO95,78197
95199,DOMONT,95,SO95,78199
95203,EAUBONNE,95,SO95,78203
95205,ECOUEN,95,SO95,78205
95210,ENGHIEN-LES-BAINS,95,SO95,78210
95211,ENNERY,95,SO95,78211
95212,EPIAIS-LES-LOUVRES,95,SO95,78212
95213,EPIAIS-RHUS,95,SO95,78213
95214,EPINAY-CHAMPLATREUX,95,SO95,78214
95218,ERAGNY,95,SO95,78218
95219,ERMONT,95,SO95,78219
95229,EZANVILLE,95,SO95,78229
95241,FONTENAY-EN-PARISIS,95,SO95,78241
95250,FOSSES,95,SO95,78250
95252,FRANCONVILLE,95,SO95,78252
95253,FREMAINVILLE,95,SO95,78253
95254,FREMECOURT,95,SO95,78254
95256,FREPILLON,95,SO95,78256
95257,FRETTE-SUR-SEINE,95,SO95,78257
95258,FROUVILLE,95,SO95,78258
95259,GADANCOURT,95,SO95,78259
95268,GARGES-LES-GONESSE,95,SO95,78268
95270,GENAINVILLE,95,SO95,78270
95271,GENICOURT,95,SO95,78271
95277,GONESSE,95,SO95,78277
95280,GOUSSAINVILLE,95,SO95,78280
95282,GOUZANGREZ,95,SO95,78282
95287,GRISY-LES-PLATRES,95,SO95,78287
95288,GROSLAY,95,SO95,78288
95295,GUIRY-EN-VEXIN,95,SO95,78295
95298,HARAVILLIERS,95,SO95,78298
95301,HAUTE-ISLE,95,SO95,78301
95303,HEAULME,95,SO95,78303
95304,HEDOUVILLE,95,SO95,78304
95306,HERBLAY,95,SO95,78306
95308,HEROUVILLE,95,SO95,78308
95309,HODENT,95,SO95,78309
95313,ISLE-ADAM,95,SO95,78313
95316,JAGNY-SOUS-BOIS,95,SO95,78316
95323,JOUY-LE-MOUTIER,95,SO95,78323
95328,LABBEVILLE,95,SO95,78328
95331,LASSY,95,SO95,78331
95341,LIVILLIERS,95,SO95,78341
95348,LONGUESSE,95,SO95,78348
95351,LOUVRES,95,SO95,78351
95352,LUZARCHES,95,SO95,78352
95353,MAFFLIERS,95,SO95,78353
95355,MAGNY-EN-VEXIN,95,SO95,78355
95365,MAREIL-EN-FRANCE,95,SO95,78365
95369,MARGENCY,95,SO95,78369
95370,MARINES,95,SO95,78370
95371,MARLY-LA-VILLE,95,SO95,78371
95379,MAUDETOUR-EN-VEXIN,95,SO95,78379
95387,MENOUVILLE,95,SO95,78387
95388,MENUCOURT,95,SO95,78388
95392,MERIEL,95,SO95,78392
95394,MERY-SUR-OISE,95,SO95,78394
95395,MESNIL-AUBRY,95,SO95,78395
95409,MOISSELLES,95,SO95,78409
95422,MONTGEROULT,95,SO95,78422
95424,MONTIGNY-LES-CORMEILLES,95,SO95,78424
95426,MONTLIGNON,95,SO95,78426
95427,MONTMAGNY,95,SO95,78427
95428,MONTMORENCY,95,SO95,78428
95429,MONTREUIL-SUR-EPTE,95,SO95,78429
95430,MONTSOULT,95,SO95,78430
95436,MOURS,95,SO95,78436
95438,MOUSSY,95,SO95,78438
95445,NERVILLE-LA-FORET,95,SO95,78445
95446,NESLES-LA-VALLEE,95,SO95,78446
95447,NEUILLY-EN-VEXIN,95,SO95,78447
95450,NEUVILLE-SUR-OISE,95,SO95,78450
95452,NOINTEL,95,SO95,78452
95456,NOISY-SUR-OISE,95,SO95,78456
95459,NUCOURT,95,SO95,78459
95462,OMERVILLE,95,SO95,78462
95476,OSNY,95,SO95,78476
95480,PARMAIN,95,SO95,78480
95483,PERCHAY,95,SO95,78483
95487,PERSAN,95,SO95,78487
95488,PIERRELAYE,95,SO95,78488
95489,PISCOP,95,SO95,78489
95491,PLESSIS-BOUCHARD,95,SO95,78491
95492,PLESSIS-GASSOT,95,SO95,78492
95493,PLESSIS-LUZARCHES,95,SO95,78493
95500,PONTOISE,95,SO95,78500
95504,PRESLES,95,SO95,78504
95509,PUISEUX-EN-FRANCE,95,SO95,78509
95510,PUISEUX-PONTOISE,95,SO95,78510
95523,ROCHE-GUYON,95,SO95,78523
95527,ROISSY-EN-FRANCE,95,SO95,78527
95529,RONQUEROLLES,95,SO95,78529
95535,SAGY,95,SO95,78535
95539,SAINT-BRICE-SOUS-FORET,95,SO95,78539
95541,SAINT-CLAIR-SUR-EPTE,95,SO95,78541
95543,SAINT-CYR-EN-ARTHIES,95,SO95,78543
95554,SAINT-GERVAIS,95,SO95,78554
95555,SAINT-GRATIEN,95,SO95,78555
95563,SAINT-LEU-LA-FORET,95,SO95,78563
95566,SAINT-MARTIN-DU-TERTRE,95,SO95,78566
95572,SAINT-OUEN-L'AUMONE,95,SO95,78572
95574,SAINT-PRIX,95,SO95,78574
95580,SAINT-WITZ,95,SO95,78580
95582,SANNOIS,95,SO95,78582
95584,SANTEUIL,95,SO95,78584
95585,SARCELLES,95,SO95,78585
95592,SERAINCOURT,95,SO95,78592
95594,SEUGY,95,SO95,78594
95598,SOISY-SOUS-MONTMORENCY,95,SO95,78598
95604,SURVILLIERS,95,SO95,78604
95607,TAVERNY,95,SO95,78607
95610,THEMERICOURT,95,SO95,78610
95611,THEUVILLE,95,SO95,78611
95612,THILLAY,95,SO95,78612
95625,US,95,SO95,78625
95627,VALLANGOUJARD,95,SO95,78627
95628,VALMONDOIS,95,SO95,78628
95633,VAUDHERLAND,95,SO95,78633
95637,VAUREAL,95,SO95,78637
95641,VEMARS,95,SO95,78641
95651,VETHEUIL,95,SO95,78651
95652,VIARMES,95,SO95,78652
95656,VIENNE-EN-ARTHIES,95,SO95,78656
95658,VIGNY,95,SO95,78658
95660,VILLAINES-SOUS-BOIS,95,SO95,78660
95675,VILLERON,95,SO95,78675
95676,VILLERS-EN-ARTHIES,95,SO95,78676
95678,VILLIERS-ADAM,95,SO95,78678
95680,VILLIERS-LE-BEL,95,SO95,78680
95682,VILLIERS-LE-SEC,95,SO95,78682
95690,WY-DIT-JOLI-VILLAGE,95,SO95,78690
